,Unnamed: 0,Condition Name,Overview,Symptoms,Prevention,Treatment
52,52,Alkaptonuria,"Alkaptonuria, or ""black urine disease"", is a very rare inherited disorder that prevents the body fully breaking down two protein building blocks (amino acids) called tyrosine and phenylalanine.","When a person with alkaptonuria reaches their 20s or 30s, they may start to experience joint problems;An obvious sign of alkaptonuria in adults is thickening and blue-black discolouration of ear cartilage. This is called ochronosis;Discolouration of ear cartilage due to alkaptonuria;Spots on the eye due to alkaptonuria;Breathing difficulties;Heart, kidney and prostate problems;",,Nitisinone;Diet;Exercise;Pain relief;Surgery;
53,53,Allergic rhinitis,"Allergic rhinitis is inflammation of the inside of the nose caused by an allergen, such as pollen, dust, mould or flakes of skin from certain animals"," cold-like symptoms, such as sneezing, itchiness and a blocked or runny nose;",,MEDICATIONS;
54,54,Allergies,An allergy is a reaction the body has to a particular food or substance.,"sneezing;a runny or blocked nose;red, itchy, watery eyes;wheezing and coughing;a red, itchy rash;worsening of asthma or eczema symptoms;",,"antihistamines – these can be taken when you notice the symptoms of a reaction, or before being exposed to an allergen, to stop a reaction occurringdecongestants – tablets, capsules, nasal sprays or liquids that can be used as a short-term treatment for a blocked nose;lotions and creams, such as moisturising creams (emollients) – these can reduce skin redness and itchiness;steroid medicines – sprays, drops, creams, inhalers and tablets that can help reduce redness and swelling caused by an allergic reaction;"
55,55,Altitude sickness,You can get altitude sickness if you travel to a high altitude too quickly.,headache;feeling and being sick;dizziness;tiredness;loss of appetite;shortness of breath;,,"stop and rest where you are;do not go any higher for at least 24 to 48 hours;if you have a headache, take ibuprofen or paracetamol;if you feel sick, take an anti-sickness medicine, such as promethazine;make sure you're drinking enough water;do not smoke, drink alcohol, or exercise;"
56,56,Alzheimer's disease,Alzheimer's disease is the most common type of dementia in the UK.,"confusion, disorientation and getting lost in familiar places;difficulty planning or making decisions;problems with speech and language;problems moving around without assistance or performing self-care tasks;personality changes, such as becoming aggressive, demanding and suspicious of others;hallucinations (seeing or hearing things that are not there) and delusions (believing things that are untrue);low mood or anxiety;",,"There's currently no cure for Alzheimer's disease, but medicines are available that can help relieve some of the symptoms;"
57,57,Amblyopia,"A ""lazy eye"" is a childhood condition where the vision does not develop properly. It's known medically as amblyopia.","a squint – where the weaker eye looks inwards, outwards, upwards or downwards, while the other eye looks forwards;short-sightedness (myopia), long-sightedness (hyperopia) and astigmatism;childhood cataracts – cloudy patches that develop in the lens, which sits behind the iris (the coloured part of the eye) and pupil;",,Sergery;
58,58,Amnesia,"Most people forget things from time to time, but see a GP if you keep having problems with your memory. It could be caused by something that can be treated.",stress;anxiety or depression;sleeping problems (insomnia);,,medication;
59,59,Amniocentesis,"Amniocentesis is a test you may be offered during pregnancy to check if your baby has a genetic or chromosomal condition, such as Down's syndrome, Edwards' syndrome or Patau's syndrome.",,,
60,60,Amputation,"An amputation is the surgical removal of part of the body, such as an arm or leg.",,,
61,61,Amyloidosis,"Amyloidosis is the name for a group of rare, serious conditions caused by a build-up of an abnormal protein called amyloid in organs and tissues throughout the body.","Kidney failure;Heart failure;feeling lightheaded or fainting, particularly after standing or sitting upnumbness or a tingling feeling in the hands and feet (peripheral neuropathy);nausea, diarrhoea or constipation;numbness, tingling and pain in the wrist, hand and fingers (carpal tunnel syndrome);easy bruising;",,There is not currently a cure for amyloidosis.
62,62,Anabolic steroid misuse,Anabolic steroids are prescription-only medicines that are sometimes taken without medical advice to increase muscle mass and improve athletic performance.,,, 
63,63,Anaemia (iron deficiency),"Iron deficiency anaemia is caused by lack of iron, often because of blood loss or pregnancy. It's treated with iron tablets prescribed by a GP and by eating iron-rich foods.",tiredness and lack of energy;shortness of breath;noticeable heartbeats (heart palpitations);pale skin;,,medications;
64,64,Anaemia (vitamin B12 or folate deficiency),Vitamin B12 or B9 (commonly called folate) deficiency anaemia occurs when a lack of vitamin B12 or folate causes the body to produce abnormally large red blood cells that cannot function properly.,"extreme tiredness;a lack of energy;pins and needles (paraesthesia);a sore and red tongue;mouth ulcers;muscle weakness;disturbed vision;psychological problems, which may include depression and confusionproblems with memory, understanding and judgement;",,medications;
65,65,Anaesthesia,"Anaesthesia means ""loss of sensation"". Medications that cause anaesthesia are called anaesthetics.",,,
66,66,Anal cancer,Anal cancer is a rare type of cancer that affects the anus (the end of the bowel).,bleeding from the bottom (rectal bleeding);itching and pain around the anus;small lumps around the anus;a discharge of mucus from the anus;loss of bowel control (bowel incontinence);,,chemoradiation – a combination of chemotherapy and radiotherapy;surgery – to remove a tumour or a larger section of bowel;
67,67,Anal fissure,"An anal fissure is a tear or open sore (ulcer) that develops in the lining of the large intestine, near the anus.","a sharp pain when you poo, often followed by a deep burning pain that may last several hours;bleeding when you poo – most people notice a small amount of bright red blood either in their poo or on the toilet paper;",,Medication;surgery;
68,68,Anal fistula,An anal fistula is a small tunnel that develops between the end of the bowel and the skin near the anus (where poo leaves the body).,"skin irritation around the anus;a constant, throbbing pain that may be worse when you sit down, move around, poo or cough;smelly discharge from near your anus; passing pus or blood when you poo;swelling and redness around your anus and a high temperature (fever) if you also have an abscess;difficulty controlling bowel movements (bowel incontinence) in some cases;",,a fistulotomy – a procedure that involves cutting open the whole length of the fistula so it heals into a flat scar;seton procedures – where a piece of surgical thread called a seton is placed in the fistula and left there for several weeks to help it heal before a further procedure is carried out to treat it;
69,69,Anal pain,"Anal pain (pain in the bottom) can be distressing, but it's often just the result of a minor, treatable problem.","a severe, sharp pain when doing a poo;a burning or gnawing pain that lasts several hours after doing a poo;rectal bleeding – you may notice a small amount of blood on the toilet paper after you wipe;",,Medications;
70,70,Anaphylaxis,Anaphylaxis is a severe and potentially life-threatening reaction to a trigger such as an allergy.,"feeling lightheaded or faint;breathing difficulties – such as fast, shallow breathing;wheezing;a fast heartbeat;clammy skin;confusion and anxiety;collapsing or losing consciousness;",,Medications;
71,71,Androgen insensitivity syndrome,Androgen insensitivity syndrome (AIS) is a rare condition that affects the development of a child's genitals and reproductive organs.,,,
72,72,Aneurysm (abdominal aortic),"An abdominal aortic aneurysm (AAA) is a bulge or swelling in the aorta, the main blood vessel that runs from the heart down through the chest and tummy.",a pulsing sensation in the tummy (like a heartbeat);tummy pain that does not go away;lower back pain that does not go away;,,surgery;
73,73,Aneurysm (brain),"An aneurysm is a bulge in a blood vessel caused by a weakness in the blood vessel wall, usually where it branches.","a sudden agonising headache – it's been described as a ""thunderclap headache"", similar to a sudden hit on the head, resulting in a blinding pain unlike anything experienced before;a stiff neck;sickness and vomiting;pain on looking at light;",,"If a brain aneurysm is detected before it ruptures, treatment may be recommended to prevent it rupturing in future;"
74,74,Angelman syndrome,Angelman syndrome is a genetic condition that affects the nervous system and causes severe physical and learning disabilities.,"frequent laughter and smiling, often with little stimulus;being easily excitable, often flapping the hands;being restless (hyperactive);having a short attention span;trouble sleeping and needing less sleep than other children;a particular fascination with water;",,"anti-epileptic medicine to control seizures;physiotherapy may improve posture, balance and walking ability; it's also important to prevent permanent stiffening of the joints as people with Angelman syndrome get older;communication therapy may help them develop non-verbal language skills, such as sign language and using visual aids; using iPad applications and similar tablet devices may also help;behavioural therapy may be recommended to help overcome behaviours you find hard to manage, such as hyperactivity and a short attention span;"
75,75,Angina,"Angina is chest pain caused by reduced blood flow to the heart muscles. It's not usually life threatening, but it's a warning sign that you could be at risk of a heart attack or stroke.","feels tight, dull or heavy – it may spread to your left arm, neck, jaw or back;is triggered by physical exertion or stress;stops within a few minutes of resting;",,You'll probably need to take several different medicines for the rest of your life.;
76,76,Angioedema,"Angioedema is swelling underneath the skin. It's usually a reaction to a trigger, such as a medicine or something you're allergic to;",The swelling most often affects the:hands;feet;area around the eyes;lips and tongue;genitals;,,"Angioedema can usually be treated at home, although treatment in hospital may be necessary in serious cases."
77,77,Angiography,Angiography is a type of X-ray used to check blood vessels.,,,
78,78,Angioplasty,A coronary angioplasty is a procedure used to widen blocked or narrowed coronary arteries (the main blood vessels supplying the heart).,,,
79,79,Ankle pain,Foot pain,,,
80,80,Ankylosing spondylitis,Ankylosing spondylitis (AS) is a long-term condition in which the spine and other areas of the body become inflamed.,back pain and stiffness;pain and swelling in other parts of the body – caused by inflammation of the joints (arthritis) and inflammation where a tendon joins a bone (enthesitis);extreme tiredness (fatigue);,,"exercises carried out individually or in groups to reduce pain and stiffness;physiotherapy – where physical methods, such as massage and manipulation, are used to improve comfort and spinal flexibility;medicine to help relieve pain and reduce inflammation– such as painkillers, anti-tumour necrosis factor (TNF) medication and other forms of biological therapy;"
81,81,Anorexia nervosa,Anorexia is an eating disorder and serious mental health condition.,"missing meals, eating very little or avoid eating any foods you see as fattening;lying about what and when you've eaten, and how much you weigh;taking medicine to reduce your hunger (appetite suppressants), such as slimming or diet pills;exercising excessively, making yourself sick, or using medicine to help you poo (laxatives) or to make you pee (diuretics) to try to avoid putting on weight;an overwhelming fear of gaining weight;strict rituals around eating;seeing losing a lot of weight as a positive thing;believing you are fat when you are a healthy weight or underweight;not admitting your weight loss is serious;You may also notice physical signs and symptoms such as:if you're under 18, your weight and height being lower than expected for your age;if you're an adult, having an unusually low body mass index (BMI);your periods stopping (in women who have not reached menopause) or not starting (in younger women and girls);bloating, constipation and abdominal pain;headaches or problems sleeping;feeling cold, dizzy or very tired;poor circulation in hands and feet;dry skin, hair loss from the scalp, or fine downy hair growing on the body;reduced sex drive;",,Treatment for anorexia usually involves a combination of talking therapy and supervised weight gain.;Cognitive behavioural therapy (CBT);Maudsley Anorexia Nervosa Treatment for Adults;Focal psychodynamic therapy;
82,82,Anosmia,A change in your sense of smell can be unpleasant and affect how things taste. But it is not usually serious and may get better in a few weeks or months., sense of smell does not go back to normal in a few weeks;,,AbScent: smell training;Fifth Sense: smell testing and training;
83,83,Anosmia,A change in your sense of smell can be unpleasant and affect how things taste. But it is not usually serious and may get better in a few weeks or months., sense of smell does not go back to normal in a few weeks;,,AbScent: smell training;Fifth Sense: smell testing and training;
84,84,Antacids,Antacids are medicines that counteract (neutralise) the acid in your stomach to relieve indigestion and heartburn.,,,
85,85,Antibiotics,Antibiotics are used to treat or prevent some types of bacterial infection. They work by killing bacteria or preventing them from spreading. But they do not work for everything.,,,
86,86,Anticoagulant medicines,"Anticoagulants are medicines that help prevent blood clots. They're given to people at a high risk of getting clots, to reduce their chances of developing serious conditions such as strokes and heart attacks.",,,
87,87,Antidepressants,Antidepressants are a type of medicine used to treat clinical depression.,,,
88,88,Antifungal medicines,"Antifungal medicines are used to treat fungal infections, which most commonly affect your skin, hair and nails.",,,
89,89,Antihistamines,"Antihistamines are medicines often used to relieve symptoms of allergies, such as hay fever, hives, conjunctivitis and reactions to insect bites or stings.",,,
90,90,Antiphospholipid syndrome (APS),"Antiphospholipid syndrome (APS), sometimes known as Hughes syndrome, is a disorder of the immune system that causes an increased risk of blood clots.","high blood pressure;deep vein thrombosis (DVT);a stroke or a transient ischaemic attack (TIA) (""mini-stroke"");heart attacks;pulmonary embolism (a blockage in one of the blood vessels in the lungs);People with APS may also experience any of the following symptoms:balance and mobility problems;vision problems, such as double vision;speech and memory problems;a tingling sensation or pins and needles in your arms or legs;fatigue (extreme tiredness);repeated headaches or migraines;",,"An anticoagulant medicine, such as warfarin, or an antiplatelet, such as low-dose aspirin, is usually prescribed."
91,91,Antisocial personality disorder,"Personality disorders are mental health conditions that affect how someone thinks, perceives, feels or relates to others.","exploit, manipulate or violate the rights of others;lack concern, regret or remorse about other people's distress;behave irresponsibly and show disregard for normal social behaviour;have difficulty sustaining long-term relationships;be unable to control their anger;lack guilt, or not learn from their mistakes;blame others for problems in their livesrepeatedly break the law;",,Talking therapies;medications;
92,92,Anus (itchy),You can often do simple things yourself to ease an itchy bottom (anus). See a GP if the itching does not stop.,,,cleaning;medications;
93,93,Anxiety disorder in adults,"Anxiety is a feeling of unease, such as worry or fear, that can be mild or severe.","restlessness;a sense of dread;feeling constantly ""on edge"";dizziness;tiredness;a noticeably strong, fast or irregular heartbeat (palpitations);muscle aches and tension;trembling or shaking;dry mouth;excessive sweating;shortness of breath;stomach ache;feeling sick;headache;pins and needles;difficulty falling or staying asleep (insomnia);difficulty concentrating;irritability;",,Psychological therapies for GAD;Cognitive behavioural therapy (CBT);Applied relaxation
94,94,Anxiety disorders in children,"It's normal for children to feel worried or anxious from time to time – such as when they're starting school or nursery, or moving to a new area.","finding it hard to concentrate;not sleeping, or waking in the night with bad dreams;not eating properly;quickly getting angry or irritable, and being out of control during outbursts;constantly worrying or having negative thoughts;feeling tense and fidgety, or using the toilet often;always crying;being clingy;complaining of tummy aches and feeling unwell;",,Counselling can help your child understand what's making them anxious and allow them to work through the situation;Cognitive behavioural therapy (CBT) is a talking therapy that can help your child manage their anxiety by changing the way they think and behave. Learn more about CBT;Anxiety medicines may be offered to your child if their anxiety is severe or does not get better with talking therapies. They're usually only prescribed by doctors who specialise in children and young people's mental health.;
95,95,Aortic valve replacement,An aortic valve replacement is a type of open heart surgery used to treat problems with the heart's aortic valve.,,,
96,96,Aphasia,"Aphasia is when a person has difficulty with their language or speech. It's usually caused by damage to the left side of the brain (for example, after a stroke).",People with aphasia often have trouble with the 4 main ways people understand and use language.These are:reading;listening;speaking;typing or writing;,,Speech and language therapy is the main type of treatment for people with aphasia;
97,97,Appendicitis,"Appendicitis is a painful swelling of the appendix. The appendix is a small, thin pouch about 5 to 10cm (2 to 4 inches) long. It's connected to the large intestine, where poo forms.","Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go;Within hours, the pain travels to the lower right-hand side, where the appendix usually lies, and becomes constant and severe;Pressing on this area, coughing or walking may make the pain worse;",,"If you have appendicitis, it's likely your appendix will need to be removed as soon as possible;"
98,98,Arrhythmia,Arrhythmias or heart rhythm problems are experienced by more than 2 million people a year in the UK. Most people with an abnormal heart rhythm can lead a normal life if it is properly diagnosed.,"atrial fibrillation (AF) – this is the most common type, where the heart beats irregularly and faster than normal;supraventricular tachycardia – episodes of abnormally fast heart rate at rest;bradycardia – the heart beats more slowly than normal;heart block – the heart beats more slowly than normal and can cause people to collapse;ventricular fibrillation – a rare, rapid and disorganised rhythm of heartbeats that rapidly leads to loss of consciousness and sudden death if not treated immediately;",,medication – to stop or prevent an arrhythmia or control the rate of an arrhythmia;cardioversion – a treatment that uses electricity to shock the heart back into a normal rhythm while you are anaesthetised or sedated;catheter ablation – a keyhole treatment under local or general anaesthetic that carefully destroys the diseased tissue in your heart that causes the arrhythmia;pacemaker – a small device containing its own battery that is implanted in your chest under local anaesthetic; it produces electrical signals to do the work of the natural pacemaker in your heart to help it beat at a normal rate;ICD – a device similar to a pacemaker that monitors your heart rhythm and shocks your heart back into a normal rhythm whenever this is needed;
99,99,Arterial thrombosis,"Arterial thrombosis is a blood clot in an artery, which can be very serious because it can stop blood reaching important organs.","a heart attack, when blood flow to the heart muscle is suddenly blocked, causing chest pain, shortness of breath and dizziness;a stroke, when blood flow to the brain is cut off; the main symptoms are one side of the face dropping, weakness in one side of the body and slurred speech;a transient ischaemic attack (TIA) or ""mini-stroke"", when blood flow to the brain is temporarily blocked, causing short-lived stroke symptoms;critical limb ischaemia (a complication of peripheral arterial disease), when the blood supply to a limb is blocked, causing it to become painful, discoloured (either pale or blue) and cold;",,"injections of a medicine called a thrombolytic which can dissolve some blood clots;an operation to remove the clot (embolectomy);an operation to widen the affected artery – for example, an angioplasty (where a hollow tube is placed inside the artery to hold it open);surgery to divert blood around the blocked artery – for example, a coronary artery bypass graft (where a blood vessel taken from another part of the body is used to bypass a blockage in the artery that supplies the heart muscle);"
100,100,Arthritis,Arthritis is a common condition that causes pain and inflammation in a joint.,"joint pain, tenderness and stiffness;inflammation in and around the joints;restricted movement of the joints;warm red skin over the affected joint;weakness and muscle wasting;",,"Osteoarthritis treatments include lifestyle changes, medicines and surgery;Treatment for rheumatoid arthritis aims to slow the condition's progress and minimise joint inflammation. This helps prevent joint damage;"
101,101,Arthroscopy,An arthroscopy is a type of keyhole surgery used to diagnose and treat problems with joints.,,,
102,102,Asbestosis,Asbestosis is a serious lung condition caused by long-term exposure to asbestos.,"shortness of breath;persistent cough;wheezing;extreme tiredness (fatigue);pain in your chest or shoulder;in more advanced cases, clubbed (swollen) fingertips;",,pulmonary rehabilitation – a programme of exercises and education to help manage your symptoms;oxygen therapy – breathing in oxygen-rich air from a machine or tank to help improve breathlessness if your blood oxygen levels are low;inhaler to ease breathing (if your symptoms are mild);
103,103,Asperger's,Autism,"not responding to their name;avoiding eye contact;not smiling when you smile at them;getting very upset if they do not like a certain taste, smell or sound;repetitive movements, such as flapping their hands, flicking their fingers or rocking their body;not talking as much as other children;repeating the same phrases;not seeming to understand what others are thinking or feeling;finding it hard to say how they feel;liking a strict daily routine and getting very upset if it changes;having a very keen interest in certain subjects or activities;getting very upset if you ask them to do something;finding it hard to make friends or preferring to be on their own;taking things very literally – for example, they may not understand phrases like ""break a leg"";",,no treatment
104,104,Aspergillosis,Aspergillosis is a condition caused by aspergillus mould. There are several different types of aspergillosis. Most affect the lungs and cause breathing difficulties.,shortness of breath;a cough – you may cough up blood or lumps of mucus;wheezing (a whistling sound when breathing);a high temperature of 38C or above;weight loss;,,Medications;
105,105,Aspirin,"Aspirin is an everyday painkiller for aches and pains such as headache, toothache and period pain. It can also be used to treat colds and ""flu-like"" symptoms, and to bring down a high temperature. It is also known as acetylsalicylic acid.",,,
106,106,Asthma,Asthma is a common lung condition that causes occasional breathing difficulties.,"wheezing (a whistling sound when breathing);breathlessness;a tight chest – it may feel like a band is tightening around it;wheezing, coughing and chest tightness becoming severe and constant;being too breathless to eat, speak or sleep;breathing faster;a fast heartbeat;drowsiness, confusion, exhaustion or dizziness;blue lips or fingers;fainting;coughing;",,Inhalers;Medications;
107,107,Astigmatism,"Astigmatism, along with short-sightedness and long-sightedness, is a common cause of blurry vision. It's usually corrected with glasses or contact lenses.","blurred vision;headaches;eye strain (you may notice this after concentrating for a long time – on a computer, for example);",,Glasses;lenses;surgey;
108,108,Ataxia,"Ataxia is a term for a group of disorders that affect co-ordination, balance and speech.","Difficulties in: balance and walking;speaking;swallowing;tasks that require a high degree of control, such as writing and eating;vision ;",,"speech and language therapy to help with speech and swallowing problems;physiotherapy to help with movement problems;occupational therapy to help you cope with the day-to-day problems;medication to control muscle, bladder, heart and eye problems;"
109,109,Atherosclerosis (arteriosclerosis),"Atherosclerosis is a potentially serious condition where arteries become clogged with fatty substances called plaques, or atheroma.",Strokes ;Heart attacks;,,"statins for high cholesterol – read more about treating high cholesterol;medicines for high blood pressure – read more about treating high blood pressure;medicines to reduce the risk of blood clots – such as low-dose aspirin or clopidogrel;dietary changes and medication for diabetes – read more about type 1 diabetes and treating type 2 diabetes;a procedure to widen or bypass an affected artery – such as a coronary angioplasty, a coronary artery bypass graft or a carotid endarterectomy;"
110,110,Athlete's foot,"Athlete's foot is a common fungal infection that affects the feet. You can usually treat it with creams, sprays or powders from a pharmacy, but it can keep coming back.","Itchy white patches between your toes;Red, flaky patch on foot caused by athlete's foot;Red, sore and flaky patches on your feet;Cracked skin between toes caused by athlete's foot;Skin that may crack and bleed;",,creams;sprays;powders;
111,111,Atopic eczema,"Atopic eczema (atopic dermatitis) is the most common form of eczema, a condition that causes the skin to become itchy, dry and cracked.","Atopic eczema causes areas of skin to become itchy, dry, cracked and sore.",,emollients (moisturisers) – used every day to stop the skin becoming dry;topical corticosteroids – creams and ointments used to reduce swelling and redness during flare-ups;
112,112,Atrial fibrillation,Atrial fibrillation is a heart condition that causes an irregular and often abnormally fast heart rate., dizziness; shortness of breath; tiredness;,,medicines to prevent a stroke (people with atrial fibrillation are more at risk of having a stroke);medicines to control the heart rate or rhythm;cardioversion – where the heart is given a controlled electric shock to restore normal rhythm;catheter ablation – where the area inside the heart that's causing the abnormal heart rhythm is destroyed using radiofrequency energy; afterwards you may then need to have a pacemaker fitted to help your heart beat regularly;
113,113,Attention deficit hyperactivity disorder (ADHD),"Attention deficit hyperactivity disorder (ADHD) is a condition that affects people's behaviour. People with ADHD can seem restless, may have trouble concentrating and may act on impulse .","having a short attention span and being easily distracted;making careless mistakes – for example, in schoolwork;appearing forgetful or losing things;being unable to stick to tasks that are tedious or time-consuming;appearing to be unable to listen to or carry out instructions;constantly changing activity or task;having difficulty organising tasks;",,Medicine;Therapy;Psychoeducation;Behaviour therapy;Parent training and education programmes;Cognitive behavioural therapy (CBT)
114,114,Auditory processing disorder (APD),"Auditory processing disorder (APD) is where you have difficulty understanding sounds, including spoken words. There are things you can do that can help.",people speaking in noisy placespeople with strong accents or fast talkerssimilar sounding wordsspoken instructions,,There is no cure for APD but there are things that can help;Treatment usually involves activities to improve listening and concentration;
115,115,Autism,Autism,"not responding to their name;avoiding eye contact;not smiling when you smile at them;getting very upset if they do not like a certain taste, smell or sound;repetitive movements, such as flapping their hands, flicking their fingers or rocking their body;not talking as much as other children;repeating the same phrases;not seeming to understand what others are thinking or feeling;finding it hard to say how they feel;liking a strict daily routine and getting very upset if it changes;having a very keen interest in certain subjects or activities;getting very upset if you ask them to do something;finding it hard to make friends or preferring to be on their own;taking things very literally – for example, they may not understand phrases like ""break a leg"";",,no treatment
116,116,Autosomal dominant polycystic kidney disease,Autosomal dominant polycystic kidney disease (ADPKD) is an inherited condition that causes small fluid-filled sacs called cysts to develop in the kidneys.,"pain in your tummy (abdomen), side or lower back;blood in your urine (haematuria);high blood pressure (hypertension);kidney stones;recurrent urinary tract infections (UTIs);eventually, loss of kidney function (chronic kidney disease, or CKD);",,"There's currently no cure for autosomal dominant polycystic kidney disease (ADPKD), and it's not possible to stop cysts forming in the kidneys."
117,117,Autosomal recessive polycystic kidney disease,"Autosomal recessive polycystic kidney disease (ARPKD) is a rare inherited childhood condition where the development of the kidneys and liver is abnormal. Over time, either one of these organs may fail.","underdeveloped lungs, which can cause severe breathing difficulties soon after birth;high blood pressure (hypertension);excessive peeing and thirst;problems with blood flow through the liver, which can lead to serious internal bleeding;a progressive loss of kidney function, known as chronic kidney disease (CKD) ;",,There's currently no cure for autosomal recessive polycystic kidney disease (ARPKD).
118,118,Avian flu,"Bird flu, or avian flu, is an infectious type of influenza that spreads among birds. In rare cases, it can affect humans.",a very high temperature or feeling hot or shivery;aching muscles;headache;a cough;Other early symptoms may include:diarrhoea;sickness;stomach pain;chest pain;bleeding from the nose and gums;conjunctivitis;,,"If it's thought you might have symptoms of bird flu you'll be advised to stay at home, or you'll be cared for in hospital in isolation from other patients.You may be given an antiviral medicine such as oseltamivir (Tamiflu) or zanamivir (Relenza);"
119,119,Baby,,,,
120,120,Back pain,Back pain is very common and usually improves within a few weeks or months.,,,"group exercise classes where you're taught exercises to strengthen your muscles and improve your posture;manual therapy treatments, such as manipulating the spine and massage, which are usually done by a physiotherapist, chiropractor or osteopath;psychological support, such as cognitive behavioural therapy (CBT), which can be a useful part of treatment if you're struggling to cope with pain;"
121,121,Bacterial vaginosis,"Bacterial vaginosis (BV) is a common cause of unusual vaginal discharge. BV is not a sexually transmitted infection (STI), but it can increase your risk of getting an STI such as chlamydia.","You may notice a change to the colour and consistency of your discharge, such as becoming greyish-white and thin and watery.",,Bacterial vaginosis is usually treated with antibiotic tablets or gels or creams.
122,122,Bad breath,Bad breath (sometimes called halitosis) is very common. You can usually treat it yourself.,,,
123,123,Baker's cyst,"A Baker's cyst, also called a popliteal cyst, is a fluid-filled swelling that develops at the back of the knee.",pain in the knee and calf;a build-up of fluid around the knee;occasional locking or clicking in the knee joint;,,Medications;
124,124,Balanitis,Balanitis is when the head of the penis is swollen and sore.,"red, swollen, itchy and sore;Other symptoms can include:pain when peeing;a thick discharge that comes from under your foreskin;bleeding around your foreskin;an unpleasant smell;difficulty pulling back your foreskin – though in young children it's normal to have a tight foreskin;",,a mild steroid cream or ointment;an antifungal cream or ointment;antibiotics;
125,125,Barium enema,A barium enema is a test that helps to highlight the large bowel so it can be clearly seen on an X-ray.,,,
126,126,Bartholin's cyst,"A Bartholin's cyst, also called a Bartholin's duct cyst, is a small fluid-filled sac just inside the opening of a woman's vagina.","You may feel a soft, painless lump. This does not usually cause any problems;",,soaking the cyst in warm water several times a day for 3 or 4 days and taking painkillers ;
127,127,Basal cell carcinoma,Skin cancer is one of the most common cancers in the world. Non-melanoma skin cancer refers to a group of cancers that slowly develop in the upper layers of the skin.,lump or discoloured patch on the skin that persists after a few weeks and slowly progresses over months or sometimes years;,,surgery;radiotherapy;
128,128,Bedbugs,"Bedbugs are small insects that often live on furniture or bedding. Their bites can be itchy, but do not usually cause other health problems.",,,
129,129,Bedwetting in children,"Bedwetting is common and often runs in families. It can be upsetting, but most children and young people will grow out of it. See a GP or school nurse for advice.",,,a bedwetting alarm;medicine to reduce how much pee your child makes at night;
130,130,Behçet's disease,"Behçet's disease, or Behçet's syndrome, is a rare and poorly understood condition that results in inflammation of the blood vessels and tissues.","genital and mouth ulcers;red, painful eyes and blurred vision;acne-like spots;headaches;painful, stiff and swollen joints;",,steroids – powerful anti-inflammatory medicines;immunosuppressants – medicines that reduce the activity of the immune system;biological therapies – medicines that target the biological processes involved in the process of inflammation;
131,131,Being sick,"Diarrhoea and vomiting are common in adults, children and babies. They're often caused by a stomach bug and should stop in a few days.",,,
132,132,Bell's palsy,Bell's palsy is temporary weakness or lack of movement affecting 1 side of the face. Most people get better within 9 months.,"weakness or total paralysis on 1 side of your face that develops quickly within 72 hours;a drooping eyelid or corner of the mouth;drooling;a dry mouth;a loss of taste;eye irritation, such as dryness or more tears;",,a 10-day course of steroid medicine;eyedrops and eye ointment to stop the affected eye drying out;surgical tape to keep the eye closed at bedtime;
133,133,Benign brain tumour (non-cancerous),A benign (non-cancerous) brain tumour is a mass of cells that grows relatively slowly in the brain.,"new, persistent headaches;seizures (epileptic fits);feeling sick all the time, being sick, and drowsiness;mental or behavioural changes, such as changes in personality;weakness or paralysis, vision problems, or speech problems;",,surgery;radiotherapy; chemotherapy;
134,134,Benign prostate enlargement,"Benign prostate enlargement (BPE) is the medical term to describe an enlarged prostate, a condition that can affect how you pee (urinate).",difficulty starting to pee;a frequent need to pee;difficulty fully emptying your bladder;,,"drinking less alcohol, caffeine and fizzy drinks;limiting your intake of artificial sweeteners;exercising regularly;drinking less in the evening;surgery;"
135,135,Beta blockers,Beta blockers work mainly by slowing down the heart. They do this by blocking the action of hormones like adrenaline.,,,
136,136,Bile duct cancer (cholangiocarcinoma),"Bile duct cancer, also called cholangiocarcinoma, is a cancer that's found anywhere in the bile ducts;The bile ducts are small tubes that connect different organs. They are part of the digestive system;How serious bile duct cancer is depends on where it is in the bile ducts, how big it is, if it has spread and your general health;","your skin or the whites of your eyes turn yellow (jaundice), you may also have itchy skin, darker pee and paler poo than usual;loss of appetite or losing weight without trying to;feeling generally unwell;feeling tired or having no energy;a high temperature, or you feel hot or shivery;Other symptoms can affect your tummy, such as:feeling or being sick;pain in your tummy;",,surgery;radiotherapy; chemotherapy;
137,137,Fever,"an abnormally high body temperature, usually accompanied by shivering, headache, and in severe instances, delirium.","Sweating.
Chills and shivering.
Headache.
Muscle aches.
Loss of appetite.
Irritability.
Dehydration.
General weakness.","Wash your hands often, especially before eating, after using the toilet, and after being around large numbers of people. Carry hand sanitizer or antibacterial wipes with you. Avoid touching your nose, mouth, or eyes.","Take your temperature and assess your symptoms. ...
Stay in bed and rest. Keep hydrated. Take over-the-counter medications like acetaminophen and ibuprofen to reduce fever. Take tepid baths or using cold compresses to make you more comfortable."
